Sweep Results		Sweep 001	Sweep 001	Sweep 001	Sweep 001	Sweep 001	Sweep 001	Sweep 001	Sweep 001	Sweep 001	Sweep 001	Sweep 002	Sweep 002	Sweep 002	Sweep 002	Sweep 002	Sweep 002	Sweep 002	Sweep 002	Sweep 002	Sweep 002	Sweep 003	Sweep 003	Sweep 003	Sweep 003	Sweep 003	Sweep 003	Sweep 003	Sweep 003	Sweep 003	Sweep 003	Sweep 004	Sweep 004	Sweep 004	Sweep 004	Sweep 004	Sweep 004	Sweep 004	Sweep 004	Sweep 004	Sweep 004	Sweep 005	Sweep 005	Sweep 005	Sweep 005	Sweep 005	Sweep 005	Sweep 005	Sweep 005	Sweep 005	Sweep 005	Sweep 006	Sweep 006	Sweep 006	Sweep 006	Sweep 006	Sweep 006	Sweep 006	Sweep 006	Sweep 006	Sweep 006	Sweep 007	Sweep 007	Sweep 007	Sweep 007	Sweep 007	Sweep 007	Sweep 007	Sweep 007	Sweep 007	Sweep 007	Sweep 008	Sweep 008	Sweep 008	Sweep 008	Sweep 008	Sweep 008	Sweep 008	Sweep 008	Sweep 008	Sweep 008	Sweep 009	Sweep 009	Sweep 009	Sweep 009	Sweep 009	Sweep 009	Sweep 009	Sweep 009	Sweep 009	Sweep 009	Sweep 010	Sweep 010	Sweep 010	Sweep 010	Sweep 010	Sweep 010	Sweep 010	Sweep 010	Sweep 010	Sweep 010	Sweep 011	Sweep 011	Sweep 011	Sweep 011	Sweep 011	Sweep 011	Sweep 011	Sweep 011	Sweep 011	Sweep 011	Sweep 012	Sweep 012	Sweep 012	Sweep 012	Sweep 012	Sweep 012	Sweep 012	Sweep 012	Sweep 012	Sweep 012	Sweep 013	Sweep 013	Sweep 013	Sweep 013	Sweep 013	Sweep 013	Sweep 013	Sweep 013	Sweep 013	Sweep 013	Sweep 014	Sweep 014	Sweep 014	Sweep 014	Sweep 014	Sweep 014	Sweep 014	Sweep 014	Sweep 014	Sweep 014	Sweep 015	Sweep 015	Sweep 015	Sweep 015	Sweep 015	Sweep 015	Sweep 015	Sweep 015	Sweep 015	Sweep 015
Parameter	Valid QC	Compound Name	Seal Resistance	OA Function Peak ac	OA Function Peak in	OA Function Peak tl	OA Function Leak prep	OA Function Leak stead	OA Function Cap	OA Function CurDens ac	OA Function CurDens in	Compound Name	Seal Resistance	OA Function Peak ac	OA Function Peak in	OA Function Peak tl	OA Function Leak prep	OA Function Leak stead	OA Function Cap	OA Function CurDens ac	OA Function CurDens in	Compound Name	Seal Resistance	OA Function Peak ac	OA Function Peak in	OA Function Peak tl	OA Function Leak prep	OA Function Leak stead	OA Function Cap	OA Function CurDens ac	OA Function CurDens in	Compound Name	Seal Resistance	OA Function Peak ac	OA Function Peak in	OA Function Peak tl	OA Function Leak prep	OA Function Leak stead	OA Function Cap	OA Function CurDens ac	OA Function CurDens in	Compound Name	Seal Resistance	OA Function Peak ac	OA Function Peak in	OA Function Peak tl	OA Function Leak prep	OA Function Leak stead	OA Function Cap	OA Function CurDens ac	OA Function CurDens in	Compound Name	Seal Resistance	OA Function Peak ac	OA Function Peak in	OA Function Peak tl	OA Function Leak prep	OA Function Leak stead	OA Function Cap	OA Function CurDens ac	OA Function CurDens in	Compound Name	Seal Resistance	OA Function Peak ac	OA Function Peak in	OA Function Peak tl	OA Function Leak prep	OA Function Leak stead	OA Function Cap	OA Function CurDens ac	OA Function CurDens in	Compound Name	Seal Resistance	OA Function Peak ac	OA Function Peak in	OA Function Peak tl	OA Function Leak prep	OA Function Leak stead	OA Function Cap	OA Function CurDens ac	OA Function CurDens in	Compound Name	Seal Resistance	OA Function Peak ac	OA Function Peak in	OA Function Peak tl	OA Function Leak prep	OA Function Leak stead	OA Function Cap	OA Function CurDens ac	OA Function CurDens in	Compound Name	Seal Resistance	OA Function Peak ac	OA Function Peak in	OA Function Peak tl	OA Function Leak prep	OA Function Leak stead	OA Function Cap	OA Function CurDens ac	OA Function CurDens in	Compound Name	Seal Resistance	OA Function Peak ac	OA Function Peak in	OA Function Peak tl	OA Function Leak prep	OA Function Leak stead	OA Function Cap	OA Function CurDens ac	OA Function CurDens in	Compound Name	Seal Resistance	OA Function Peak ac	OA Function Peak in	OA Function Peak tl	OA Function Leak prep	OA Function Leak stead	OA Function Cap	OA Function CurDens ac	OA Function CurDens in	Compound Name	Seal Resistance	OA Function Peak ac	OA Function Peak in	OA Function Peak tl	OA Function Leak prep	OA Function Leak stead	OA Function Cap	OA Function CurDens ac	OA Function CurDens in	Compound Name	Seal Resistance	OA Function Peak ac	OA Function Peak in	OA Function Peak tl	OA Function Leak prep	OA Function Leak stead	OA Function Cap	OA Function CurDens ac	OA Function CurDens in	Compound Name	Seal Resistance	OA Function Peak ac	OA Function Peak in	OA Function Peak tl	OA Function Leak prep	OA Function Leak stead	OA Function Cap	OA Function CurDens ac	OA Function CurDens in
Time of Sweep 		2.824000	2.824000	2.824000	2.824000	2.824000	2.824000	2.824000	2.824000	2.824000	2.824000	12.266001	12.266001	12.266001	12.266001	12.266001	12.266001	12.266001	12.266001	12.266001	12.266001	21.667002	21.667002	21.667002	21.667002	21.667002	21.667002	21.667002	21.667002	21.667002	21.667002	31.084002	31.084002	31.084002	31.084002	31.084002	31.084002	31.084002	31.084002	31.084002	31.084002	40.524002	40.524002	40.524002	40.524002	40.524002	40.524002	40.524002	40.524002	40.524002	40.524002	49.942001	49.942001	49.942001	49.942001	49.942001	49.942001	49.942001	49.942001	49.942001	49.942001	59.418003	59.418003	59.418003	59.418003	59.418003	59.418003	59.418003	59.418003	59.418003	59.418003	68.816002	68.816002	68.816002	68.816002	68.816002	68.816002	68.816002	68.816002	68.816002	68.816002	78.220001	78.220001	78.220001	78.220001	78.220001	78.220001	78.220001	78.220001	78.220001	78.220001	87.639008	87.639008	87.639008	87.639008	87.639008	87.639008	87.639008	87.639008	87.639008	87.639008	97.038002	97.038002	97.038002	97.038002	97.038002	97.038002	97.038002	97.038002	97.038002	97.038002	106.447006	106.447006	106.447006	106.447006	106.447006	106.447006	106.447006	106.447006	106.447006	106.447006	115.846008	115.846008	115.846008	115.846008	115.846008	115.846008	115.846008	115.846008	115.846008	115.846008	125.250008	125.250008	125.250008	125.250008	125.250008	125.250008	125.250008	125.250008	125.250008	125.250008	134.703003	134.703003	134.703003	134.703003	134.703003	134.703003	134.703003	134.703003	134.703003	134.703003
Result Well A01	T	DMSO	3.567069E+9	-2.167148E-11	-4.651034E-10	-1.450322E-10	9.641031E-13	3.900867E-13	1.526481E-11	-1.419703E+0	-3.046900E+1	DMSO	4.716839E+9	-2.667259E-11	-4.667704E-10	-1.400311E-10	-8.613025E-14	-3.067348E-12	1.511233E-11	-1.764955E+0	-3.088672E+1	DMSO	4.291782E+9	-1.833741E-11	-4.334297E-10	-8.168482E-11	-5.390087E-13	1.206935E-12	1.510808E-11	-1.213748E+0	-2.868860E+1	DMSO	4.370552E+9	-2.667259E-11	-4.250945E-10	-1.116915E-10	-5.001111E-13	-3.757502E-12	1.504008E-11	-1.773435E+0	-2.826412E+1	DMSO	3.756335E+9	-1.667037E-11	-3.917537E-10	-9.335408E-11	6.209713E-12	2.117137E-12	1.509752E-11	-1.104180E+0	-2.594823E+1	DMSO	4.542343E+9	-2.667259E-11	-3.400756E-10	-7.835075E-11	-1.742054E-12	-7.801734E-12	1.498875E-11	-1.779508E+0	-2.268872E+1	DMSO	4.301178E+9	-3.167371E-11	-2.033785E-10	-8.168482E-11	-1.194710E-13	-5.304512E-12	1.505954E-11	-2.103232E+0	-1.350496E+1	DMSO	4.068472E+9	-9.002001E-11	-8.501889E-11	-6.001334E-11	-1.778173E-12	-1.417648E-11	1.504465E-11	-5.983523E+0	-5.651105E+0	DMSO	4.232833E+9	-2.350522E-10	-3.000667E-11	-5.334519E-11	-2.528340E-13	-1.157924E-11	1.518716E-11	-1.547704E+1	-1.975793E+0	DMSO	3.809139E+9	-3.884197E-10	-2.833963E-11	-6.501445E-11	-1.091909E-12	-1.234274E-11	1.467711E-11	-2.646432E+1	-1.930873E+0	DMSO	3.561411E+9	-4.150923E-10	-2.833963E-11	-8.335186E-11	-1.453101E-12	-6.768171E-12	1.439408E-11	-2.883770E+1	-1.968839E+0	DMSO	3.476334E+9	-3.767504E-10	-3.167371E-11	-5.667927E-11	1.172483E-12	-8.308514E-12	1.480490E-11	-2.544768E+1	-2.139406E+0	DMSO	3.425568E+9	-3.234052E-10	-3.667482E-11	-6.001334E-11	4.531563E-12	-1.342298E-11	1.483615E-11	-2.179845E+1	-2.471990E+0	DMSO	3.972828E+9	-2.233830E-10	-2.333852E-11	-6.334741E-11	1.639253E-12	4.484330E-12	1.459303E-11	-1.530751E+1	-1.599292E+0	DMSO	3.972828E+9	-1.416982E-10	-3.834185E-11	-6.001334E-11	-5.640142E-12	2.367193E-13	1.403190E-11	-1.009828E+1	-2.732477E+0
Result Well B01	T	DMSO	1.904800E+9	-1.833741E-11	-3.700822E-10	-1.150256E-10	-1.722605E-12	5.797955E-12	1.368294E-11	-1.340166E+0	-2.704698E+1	DMSO	1.987167E+9	-2.167148E-11	-3.650811E-10	-1.033563E-10	-6.529229E-12	2.807291E-12	1.377667E-11	-1.573056E+0	-2.649995E+1	DMSO	1.950665E+9	-1.667037E-11	-3.500778E-10	-8.835297E-11	1.894866E-12	-7.835075E-13	1.373487E-11	-1.213726E+0	-2.548825E+1	DMSO	1.808990E+9	-2.667259E-11	-3.217382E-10	-7.668371E-11	-4.014781E-12	2.200489E-12	1.358587E-11	-1.963260E+0	-2.368183E+1	DMSO	1.921098E+9	-2.833963E-11	-2.967326E-10	-9.002001E-11	-3.045121E-12	-4.437653E-12	1.335330E-11	-2.122294E+0	-2.222167E+1	DMSO	1.973940E+9	-2.333852E-11	-2.450545E-10	-8.668594E-11	-2.411647E-12	-4.494332E-12	1.350082E-11	-1.728674E+0	-1.815108E+1	DMSO	1.963582E+9	-2.333852E-11	-1.483663E-10	-7.168260E-11	2.733941E-12	-1.453656E-12	1.363510E-11	-1.711650E+0	-1.088120E+1	DMSO	2.191981E+9	-6.834852E-11	-6.001334E-11	-7.001556E-11	-2.608913E-12	-1.169260E-11	1.352126E-11	-5.054893E+0	-4.438444E+0	DMSO	2.138591E+9	-2.100467E-10	-2.833963E-11	-6.501445E-11	-5.367860E-12	-1.548678E-11	1.346085E-11	-1.560426E+1	-2.105337E+0	DMSO	2.186492E+9	-3.234052E-10	-2.500556E-11	-5.334519E-11	-2.822850E-12	-8.961992E-12	1.358601E-11	-2.380429E+1	-1.840538E+0	DMSO	1.936723E+9	-3.367415E-10	-1.333630E-11	-6.834852E-11	2.411647E-12	1.953768E-12	1.359992E-11	-2.476056E+1	-9.806161E-1	DMSO	2.145012E+9	-3.050678E-10	-3.000667E-11	-8.001778E-11	-5.220605E-12	-3.307402E-12	1.323483E-11	-2.305037E+1	-2.267250E+0	DMSO	1.986414E+9	-2.383863E-10	-1.500334E-11	-6.001334E-11	3.498000E-12	1.932096E-11	1.351977E-11	-1.763242E+1	-1.109733E+0	DMSO	2.076410E+9	-1.600356E-10	-1.333630E-11	-6.001334E-11	-1.694821E-13	3.740164E-11	1.344227E-11	-1.190539E+1	-9.921162E-1	DMSO	2.111299E+9	-1.150256E-10	-2.500556E-11	-7.168260E-11	-1.750389E-13	3.920204E-11	1.353384E-11	-8.499110E+0	-1.847633E+0
Result Well C01	T	DMSO	3.700547E+9	-2.500556E-11	-1.688709E-9	-2.167148E-10	2.111580E-12	4.407646E-12	1.019149E-11	-2.453573E+0	-1.656979E+2	DMSO	3.873923E+9	-4.000889E-11	-1.660369E-9	-2.117137E-10	-2.286619E-12	7.768393E-13	1.006850E-11	-3.973670E+0	-1.649073E+2	DMSO	3.539570E+9	-2.500556E-11	-1.608691E-9	-2.300511E-10	-9.002001E-13	-3.034008E-13	1.039135E-11	-2.406382E+0	-1.548106E+2	DMSO	3.245871E+9	-2.333852E-11	-1.548678E-9	-1.983774E-10	-3.834186E-13	-1.833741E-12	1.015679E-11	-2.297824E+0	-1.524770E+2	DMSO	2.947029E+9	-2.667259E-11	-1.446988E-9	-2.067126E-10	-1.047455E-12	-4.234274E-12	1.036941E-11	-2.572238E+0	-1.395439E+2	DMSO	3.307346E+9	-4.167593E-11	-1.245277E-9	-1.700378E-10	-2.947877E-12	-7.791732E-12	1.025586E-11	-4.063622E+0	-1.214210E+2	DMSO	3.479531E+9	-3.500778E-11	-8.301845E-10	-1.500333E-10	1.028006E-12	-9.095355E-12	1.010956E-11	-3.462838E+0	-8.211874E+1	DMSO	3.117117E+9	-2.283841E-10	-2.917315E-10	-1.333630E-10	-4.639920E-13	-2.353857E-11	1.019908E-11	-2.239262E+1	-2.860371E+1	DMSO	3.230270E+9	-1.335297E-9	-4.667704E-11	-1.000222E-10	-2.244943E-12	-2.482218E-11	1.025444E-11	-1.302164E+2	-4.551884E+0	DMSO	3.093707E+9	-1.637031E-9	-3.000667E-11	-1.033563E-10	-4.956657E-12	-2.028451E-11	1.011765E-11	-1.617994E+2	-2.965774E+0	DMSO	2.671058E+9	-1.517004E-9	-3.334074E-11	-8.835297E-11	5.006668E-12	-1.261947E-11	1.019998E-11	-1.487261E+2	-3.268706E+0	DMSO	3.563150E+9	-1.265281E-9	-2.500556E-11	-1.116915E-10	-8.640809E-13	3.800845E-13	1.018788E-11	-1.241947E+2	-2.454442E+0	DMSO	2.820622E+9	-1.015226E-9	-3.667482E-11	-1.016893E-10	1.003001E-12	-1.933763E-13	1.007658E-11	-1.007511E+2	-3.639611E+0	DMSO	2.605090E+9	-7.284953E-10	-3.500778E-11	-1.150256E-10	-2.553345E-12	2.746610E-11	9.906021E-12	-7.354065E+1	-3.533990E+0	DMSO	2.906696E+9	-5.001112E-10	-4.667704E-11	-1.166926E-10	-4.306513E-13	2.277173E-11	9.830801E-12	-5.087186E+1	-4.748040E+0
Result Well D01	T	DMSO	2.831803E+9	-2.333852E-11	-2.483885E-9	-3.684152E-10	-6.751500E-13	1.293621E-12	2.696794E-11	-8.654173E-1	-9.210513E+1	DMSO	2.742846E+9	-1.833741E-11	-2.442210E-9	-3.267393E-10	-9.974439E-13	5.987997E-12	2.680557E-11	-6.840894E-1	-9.110828E+1	DMSO	2.692566E+9	-2.167148E-11	-2.363859E-9	-3.184041E-10	4.445432E-13	2.053790E-12	2.678233E-11	-8.091709E-1	-8.826187E+1	DMSO	2.888002E+9	-3.167371E-11	-2.263836E-9	-3.350745E-10	-2.864525E-12	-8.078462E-12	2.678391E-11	-1.182564E+0	-8.452224E+1	DMSO	2.692105E+9	-3.000667E-11	-2.108802E-9	-2.667259E-10	-3.486886E-12	-4.714381E-12	2.691885E-11	-1.114708E+0	-7.833923E+1	DMSO	2.650338E+9	-2.500556E-11	-1.793732E-9	-2.367193E-10	3.503556E-12	-7.668371E-13	2.653619E-11	-9.423189E-1	-6.759567E+1	DMSO	2.846678E+9	-6.668149E-11	-1.131918E-9	-1.767059E-10	9.724383E-14	-1.561014E-11	2.682856E-11	-2.485467E+0	-4.219080E+1	DMSO	2.884292E+9	-5.217826E-10	-3.117359E-10	-1.333630E-10	-1.483663E-12	-4.425984E-11	2.639263E-11	-1.977001E+1	-1.181148E+1	DMSO	2.802515E+9	-2.267170E-9	-6.834852E-11	-1.016893E-10	5.140031E-13	-4.614692E-11	2.661892E-11	-8.517139E+1	-2.567667E+0	DMSO	2.894917E+9	-2.488886E-9	-5.501223E-11	-1.316959E-10	-1.539231E-12	-4.487664E-11	2.667731E-11	-9.329601E+1	-2.062136E+0	DMSO	2.411987E+9	-2.227162E-9	-4.167593E-11	-1.133585E-10	4.751056E-13	-2.653256E-11	2.630869E-11	-8.465498E+1	-1.584113E+0	DMSO	2.313633E+9	-1.868749E-9	-5.834630E-11	-9.168705E-11	3.311847E-12	-3.086353E-11	2.641871E-11	-7.073581E+1	-2.208522E+0	DMSO	2.422770E+9	-1.471994E-9	-5.001111E-11	-1.016893E-10	3.578573E-12	-1.378306E-11	2.684211E-11	-5.483898E+1	-1.863159E+0	DMSO	2.407553E+9	-1.040231E-9	-3.334074E-11	-1.150256E-10	6.526450E-12	1.595688E-11	2.611031E-11	-3.983987E+1	-1.276919E+0	DMSO	2.872694E+9	-7.251612E-10	-7.001556E-11	-1.350300E-10	-4.692710E-12	4.667704E-13	2.655669E-11	-2.730616E+1	-2.636457E+0
Result Well E01	T	DMSO	2.673785E+9	-2.000445E-11	-9.368749E-10	-2.250500E-10	6.112469E-13	3.807513E-12	8.193899E-12	-2.441383E+0	-1.143381E+2	DMSO	2.866929E+9	-2.500556E-11	-9.352078E-10	-2.617248E-10	2.695043E-13	4.667704E-14	8.098590E-12	-3.087643E+0	-1.154779E+2	DMSO	2.716299E+9	-2.333852E-11	-8.935319E-10	-2.550567E-10	9.835519E-13	5.367859E-13	8.131240E-12	-2.870229E+0	-1.098888E+2	DMSO	2.769053E+9	-2.167148E-11	-8.251834E-10	-2.133808E-10	-2.778395E-14	2.903979E-12	7.966003E-12	-2.720497E+0	-1.035881E+2	DMSO	2.766991E+9	-2.833963E-11	-7.685041E-10	-2.367193E-10	-5.890198E-13	-5.841298E-12	8.154377E-12	-3.475389E+0	-9.424437E+1	DMSO	3.006793E+9	-3.000667E-11	-6.451434E-10	-2.017115E-10	-6.370860E-12	-9.795511E-12	7.884167E-12	-3.805940E+0	-8.182771E+1	DMSO	2.887471E+9	-5.667927E-11	-4.117582E-10	-1.500333E-10	-4.584352E-12	-1.261614E-11	7.831964E-12	-7.236916E+0	-5.257406E+1	DMSO	2.874270E+9	-3.267393E-10	-1.466993E-10	-1.350300E-10	4.056457E-13	-3.690820E-11	8.379486E-12	-3.899276E+1	-1.750695E+1	DMSO	2.929998E+9	-6.934875E-10	-5.834630E-11	-1.050233E-10	-6.279173E-13	-3.504446E-11	8.322390E-12	-8.332793E+1	-7.010763E+0	DMSO	2.801439E+9	-8.135141E-10	-2.333852E-11	-6.168038E-11	3.620249E-12	-1.119916E-11	8.166893E-12	-9.961121E+1	-2.857699E+0	DMSO	2.576054E+9	-8.301845E-10	-5.167815E-11	-1.100245E-10	-5.556791E-12	-3.684486E-11	7.930953E-12	-1.046765E+2	-6.516008E+0	DMSO	2.585802E+9	-7.051567E-10	-3.834185E-11	-9.168705E-11	-3.695266E-13	-1.788731E-11	8.250641E-12	-8.546690E+1	-4.647137E+0	DMSO	2.696261E+9	-5.801289E-10	-4.334297E-11	-9.335408E-11	-1.869860E-12	-1.802734E-11	7.782357E-12	-7.454411E+1	-5.569388E+0	DMSO	2.735208E+9	-4.350967E-10	-3.834185E-11	-8.501889E-11	7.418316E-13	-3.570794E-12	8.183447E-12	-5.316790E+1	-4.685294E+0	DMSO	2.832313E+9	-3.050678E-10	-3.834185E-11	-1.000222E-10	-5.051123E-12	1.407646E-11	7.952912E-12	-3.835926E+1	-4.821109E+0
Result Well F01	T	DMSO	2.411617E+9	-3.500778E-11	-7.368304E-10	-2.583908E-10	-4.467660E-12	-6.434763E-12	6.920761E-12	-5.058372E+0	-1.064667E+2	DMSO	2.301436E+9	-2.833963E-11	-7.084908E-10	-2.367193E-10	-2.825628E-12	1.103579E-12	6.545632E-12	-4.329549E+0	-1.082387E+2	DMSO	2.144427E+9	-1.833741E-11	-7.018227E-10	-2.433874E-10	-4.056457E-13	2.343854E-12	6.626475E-12	-2.767295E+0	-1.059119E+2	DMSO	2.816578E+9	-2.833963E-11	-6.584797E-10	-1.933763E-10	-1.416982E-13	-1.803734E-12	6.535897E-12	-4.335998E+0	-1.007482E+2	DMSO	2.759703E+9	-2.667259E-11	-5.884641E-10	-1.850411E-10	-6.751500E-13	-4.577684E-12	6.740517E-12	-3.957055E+0	-8.730252E+1	DMSO	2.689801E+9	-2.667259E-11	-5.001112E-10	-1.550345E-10	-4.220382E-12	-6.434763E-12	6.230658E-12	-4.280863E+0	-8.026619E+1	DMSO	2.959237E+9	-5.167815E-11	-3.384086E-10	-1.416982E-10	-3.334074E-14	-1.707380E-11	6.458850E-12	-8.001138E+0	-5.239455E+1	DMSO	2.786121E+9	-2.033785E-10	-1.283619E-10	-9.335408E-11	-2.792287E-12	-2.193821E-11	6.431219E-12	-3.162364E+1	-1.995918E+1	DMSO	2.497458E+9	-5.017782E-10	-5.167815E-11	-8.835297E-11	1.558680E-12	-2.423205E-11	6.572851E-12	-7.634103E+1	-7.862365E+0	DMSO	2.450344E+9	-6.318071E-10	-3.334074E-11	-5.334519E-11	3.584130E-12	-1.698044E-11	6.725414E-12	-9.394324E+1	-4.957427E+0	DMSO	2.715361E+9	-6.251389E-10	-1.833741E-11	-4.667704E-11	2.595021E-12	-2.233830E-13	6.406226E-12	-9.758302E+1	-2.862435E+0	DMSO	2.951457E+9	-5.717937E-10	-4.000889E-11	-1.066904E-10	-2.975661E-12	-1.152923E-11	6.483039E-12	-8.819841E+1	-6.171318E+0	DMSO	2.701823E+9	-4.817737E-10	-3.167371E-11	-5.501223E-11	2.222716E-12	-6.768171E-12	6.342528E-12	-7.595925E+1	-4.993861E+0	DMSO	2.671512E+9	-3.617471E-10	-3.834185E-11	-7.001556E-11	-4.184263E-12	-6.594799E-12	6.133828E-12	-5.897574E+1	-6.250885E+0	DMSO	1.768483E+9	-1.983774E-10	-8.001778E-11	-1.517004E-10	-3.050678E-12	1.020393E-10	6.229083E-12	-3.184697E+1	-1.284584E+1
Result Well G01	T	DMSO	1.338276E+9	-2.500556E-11	-1.627028E-9	-3.050678E-10	-1.025228E-12	4.287620E-12	1.484565E-11	-1.684369E+0	-1.095963E+2	DMSO	1.376709E+9	-2.500556E-11	-1.590353E-9	-2.833963E-10	8.807513E-13	7.935097E-13	1.463541E-11	-1.708565E+0	-1.086648E+2	DMSO	1.654892E+9	-2.333852E-11	-1.528673E-9	-2.717271E-10	-9.891088E-13	-5.011114E-12	1.473429E-11	-1.583960E+0	-1.037494E+2	DMSO	1.940236E+9	-1.833741E-11	-1.426984E-9	-2.483885E-10	-1.022449E-12	4.614359E-12	1.492315E-11	-1.228789E+0	-9.562216E+1	DMSO	1.635694E+9	-2.667259E-11	-1.343632E-9	-2.567237E-10	-3.211825E-12	-4.280951E-12	1.453166E-11	-1.835481E+0	-9.246237E+1	DMSO	2.000652E+9	-2.333852E-11	-1.145255E-9	-2.433874E-10	4.306513E-12	-9.468771E-13	1.422425E-11	-1.640756E+0	-8.051424E+1	DMSO	1.611682E+9	-4.834408E-11	-7.818404E-10	-1.983774E-10	-3.278506E-12	-1.062903E-11	1.435371E-11	-3.368056E+0	-5.446959E+1	DMSO	1.833043E+9	-2.183819E-10	-2.733941E-10	-1.316959E-10	-3.459102E-12	-2.503223E-11	1.479701E-11	-1.475851E+1	-1.847630E+1	DMSO	1.382522E+9	-1.070238E-9	-4.667704E-11	-1.216937E-10	-4.039787E-12	-3.552456E-11	1.473422E-11	-7.263622E+1	-3.167934E+0	DMSO	1.667643E+9	-1.512003E-9	-1.500334E-11	-1.250278E-10	1.986553E-12	-1.300956E-11	1.429470E-11	-1.057737E+2	-1.049574E+0	DMSO	1.449718E+9	-1.483663E-9	-2.667259E-11	-1.433652E-10	-2.539453E-12	-1.117248E-11	1.436336E-11	-1.032950E+2	-1.856989E+0	DMSO	1.554929E+9	-1.266948E-9	-2.500556E-11	-1.250278E-10	-3.592465E-12	1.416982E-11	1.462988E-11	-8.660007E+1	-1.709212E+0	DMSO	1.380336E+9	-1.026895E-9	-3.834185E-11	-1.416982E-10	-5.303956E-12	2.420538E-11	1.447332E-11	-7.095090E+1	-2.649141E+0	DMSO	1.329239E+9	-7.401645E-10	-3.167371E-11	-1.717048E-10	-6.918204E-12	7.313292E-11	1.422962E-11	-5.201576E+1	-2.225899E+0	DMSO	1.313430E+9	-4.784397E-10	-5.001111E-11	-1.783730E-10	-6.784841E-12	1.134852E-10	1.437923E-11	-3.327296E+1	-3.478010E+0
Result Well H01	T	DMSO	8.773309E+8	-1.833741E-11	-1.013559E-9	-3.384086E-10	-5.929095E-12	8.358524E-12	8.804623E-12	-2.082702E+0	-1.151166E+2	DMSO	1.026562E+9	-2.667259E-11	-9.752168E-10	-3.084019E-10	-5.362303E-12	-2.500556E-13	8.696299E-12	-3.067120E+0	-1.121416E+2	DMSO	1.021772E+9	-3.500778E-11	-9.435430E-10	-3.050678E-10	-5.228940E-12	-5.087797E-12	8.739108E-12	-4.005876E+0	-1.079679E+2	DMSO	9.192594E+8	-3.667482E-11	-9.135364E-10	-3.284063E-10	-1.683708E-12	-6.584797E-12	8.534454E-12	-4.297266E+0	-1.070410E+2	DMSO	1.005371E+9	-3.000667E-11	-8.501890E-10	-2.867304E-10	3.739720E-12	-9.502112E-13	8.492729E-12	-3.533219E+0	-1.001079E+2	DMSO	8.686993E+8	-3.334074E-11	-7.568349E-10	-2.983997E-10	2.886753E-12	-1.202934E-11	8.603829E-12	-3.875105E+0	-8.796490E+1	DMSO	1.052652E+9	-4.000889E-11	-5.484552E-10	-2.450545E-10	1.505890E-12	-1.130918E-11	8.790316E-12	-4.551474E+0	-6.239312E+1	DMSO	9.081294E+8	-1.717048E-10	-2.417204E-10	-1.933763E-10	-1.303067E-12	-3.514448E-11	8.603986E-12	-1.995643E+1	-2.809400E+1	DMSO	1.001689E+9	-5.951323E-10	-2.500556E-11	-1.767059E-10	5.128918E-12	-1.943765E-11	8.455983E-12	-7.038002E+1	-2.957144E+0	DMSO	9.716634E+8	-8.785286E-10	-5.001112E-12	-1.767059E-10	2.925650E-12	-6.784841E-12	8.845208E-12	-9.932255E+1	-5.654035E-1	DMSO	9.734179E+8	-9.068682E-10	-1.166926E-11	-2.133808E-10	-5.334519E-12	4.227606E-12	8.241119E-12	-1.100419E+2	-1.415980E+0	DMSO	8.760595E+8	-8.201823E-10	-2.833963E-11	-2.017115E-10	1.147477E-12	1.965770E-11	8.520589E-12	-9.625888E+1	-3.326018E+0	DMSO	9.042829E+8	-6.434763E-10	-1.833741E-11	-2.267171E-10	-1.803178E-12	7.985441E-11	8.730694E-12	-7.370277E+1	-2.100338E+0	DMSO	9.275769E+8	-4.551012E-10	-4.000889E-11	-2.417204E-10	4.820516E-12	1.469593E-10	8.330130E-12	-5.463314E+1	-4.802913E+0	DMSO	8.472967E+8	-2.817293E-10	-5.667927E-11	-2.333852E-10	1.764281E-12	2.175583E-10	8.650435E-12	-3.256822E+1	-6.552187E+0
